sample_idx,subject,session,emotion_code,emotion_name,class_idx,n_frames_orig,padded,npy_path
0,S005,001,3,disgust,1,11,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S005_001_disgust.npy
1,S010,002,7,surprise,5,14,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S010_002_surprise.npy
2,S010,004,1,anger,0,19,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S010_004_anger.npy
3,S010,006,5,happiness,3,15,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S010_006_happiness.npy
4,S011,001,7,surprise,5,16,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S011_001_surprise.npy
5,S011,002,6,sadness,4,22,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S011_002_sadness.npy
6,S011,003,4,fear,2,14,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S011_003_fear.npy
7,S011,004,1,anger,0,21,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S011_004_anger.npy
8,S011,005,3,disgust,1,20,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S011_005_disgust.npy
9,S011,006,5,happiness,3,13,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S011_006_happiness.npy
10,S014,001,7,surprise,5,29,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S014_001_surprise.npy
11,S014,002,6,sadness,4,16,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S014_002_sadness.npy
12,S014,003,1,anger,0,30,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S014_003_anger.npy
13,S014,005,5,happiness,3,17,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S014_005_happiness.npy
14,S022,001,7,surprise,5,30,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S022_001_surprise.npy
15,S022,005,1,anger,0,32,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S022_005_anger.npy
16,S022,006,3,disgust,1,17,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S022_006_disgust.npy
17,S026,001,7,surprise,5,15,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S026_001_surprise.npy
18,S026,002,6,sadness,4,16,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S026_002_sadness.npy
19,S026,003,1,anger,0,15,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S026_003_anger.npy
20,S026,006,5,happiness,3,13,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S026_006_happiness.npy
21,S028,001,1,anger,0,24,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S028_001_anger.npy
22,S029,001,1,anger,0,19,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S029_001_anger.npy
23,S032,001,7,surprise,5,22,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S032_001_surprise.npy
24,S032,003,1,anger,0,17,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S032_003_anger.npy
25,S032,004,4,fear,2,14,False,/kaggle/input/datasets/udnyahyaalzami/02-extract-landmarks-results/landmarks/S032_004_fear.npy
